date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:34	28453/28453	---M--	200	added ('OK')	text/html	etag:%228040ffe-6f25-0%22	http://cablegate.wikileaks.org/cable/2009/11/09MUNICH273.html	cablegate.wikileaks.org/cable/2009/11/09MUNICH273.html	(from http://cablegate.wikileaks.org/)
15:47:34	32622/32622	---M--	200	added ('OK')	text/html	etag:%228040ffc-7f6e-0%22	http://cablegate.wikileaks.org/cable/2009/11/09BERLIN1433.html	cablegate.wikileaks.org/cable/2009/11/09BERLIN1433.html	(from http://cablegate.wikileaks.org/)
15:47:34	35150/35150	---M--	200	added ('OK')	text/html	etag:%228040ff8-894e-0%22	http://cablegate.wikileaks.org/cable/2009/11/09BAGHDAD2992.html	cablegate.wikileaks.org/cable/2009/11/09BAGHDAD2992.html	(from http://cablegate.wikileaks.org/)
15:47:35	48462/48462	---M--	200	added ('OK')	text/html	etag:%2280d00cd-bd4e-0%22	http://cablegate.wikileaks.org/cable/2009/11/09TELAVIV2482.html	cablegate.wikileaks.org/cable/2009/11/09TELAVIV2482.html	(from http://cablegate.wikileaks.org/)
15:47:35	27025/27025	---M--	200	added ('OK')	text/html	etag:%228040ff7-6991-0%22	http://cablegate.wikileaks.org/cable/2009/11/09ANKARA1654.html	cablegate.wikileaks.org/cable/2009/11/09ANKARA1654.html	(from http://cablegate.wikileaks.org/)
15:47:35	30392/30392	---M--	200	added ('OK')	text/html	etag:%2280191f0-76b8-0%22	http://cablegate.wikileaks.org/cable/2009/11/09TELAVIV2500.html	cablegate.wikileaks.org/cable/2009/11/09TELAVIV2500.html	(from http://cablegate.wikileaks.org/)
15:47:35	42135/42135	---M--	200	added ('OK')	text/html	etag:%2280d00ce-a497-0%22	http://cablegate.wikileaks.org/cable/2009/11/09TELAVIV2502.html	cablegate.wikileaks.org/cable/2009/11/09TELAVIV2502.html	(from http://cablegate.wikileaks.org/)
15:47:36	66526/66526	---M--	200	added ('OK')	text/html	etag:%2280d00cb-103de-0%22	http://cablegate.wikileaks.org/cable/2009/11/09STATE119085.html	cablegate.wikileaks.org/cable/2009/11/09STATE119085.html	(from http://cablegate.wikileaks.org/)
15:47:36	33839/33839	---M--	200	added ('OK')	text/html	etag:%2280d00ca-842f-0%22	http://cablegate.wikileaks.org/cable/2009/11/09SAOPAULO653.html	cablegate.wikileaks.org/cable/2009/11/09SAOPAULO653.html	(from http://cablegate.wikileaks.org/)
15:47:36	53909/53909	---M--	200	added ('OK')	text/html	etag:%2280d00cc-d295-0%22	http://cablegate.wikileaks.org/cable/2009/11/09STATE120288.html	cablegate.wikileaks.org/cable/2009/11/09STATE120288.html	(from http://cablegate.wikileaks.org/)
15:47:36	27160/27160	---M--	200	added ('OK')	text/html	etag:%22c06042e-6a18-0%22	http://cablegate.wikileaks.org/cable/2009/12/09STATE122950.html	cablegate.wikileaks.org/cable/2009/12/09STATE122950.html	(from http://cablegate.wikileaks.org/)
15:47:37	46491/46491	---M--	200	added ('OK')	text/html	etag:%22c060431-b59b-0%22	http://cablegate.wikileaks.org/cable/2009/12/09UNVIEVIENNA540.html	cablegate.wikileaks.org/cable/2009/12/09UNVIEVIENNA540.html	(from http://cablegate.wikileaks.org/)
15:47:37	29338/29338	---M--	200	added ('OK')	text/html	etag:%22c060424-729a-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BERLIN1528.html	cablegate.wikileaks.org/cable/2009/12/09BERLIN1528.html	(from http://cablegate.wikileaks.org/)
15:47:37	40579/40579	---M--	200	added ('OK')	text/html	etag:%22c06042b-9e83-0%22	http://cablegate.wikileaks.org/cable/2009/12/09ISTANBUL440.html	cablegate.wikileaks.org/cable/2009/12/09ISTANBUL440.html	(from http://cablegate.wikileaks.org/)
15:47:37	32172/32172	---M--	200	added ('OK')	text/html	etag:%22c060425-7dac-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BERLIN1548.html	cablegate.wikileaks.org/cable/2009/12/09BERLIN1548.html	(from http://cablegate.wikileaks.org/)
15:47:38	31865/31865	---M--	200	added ('OK')	text/html	etag:%22c06043a-7c79-0%22	http://cablegate.wikileaks.org/cable/2009/12/09SAOPAULO663.html	cablegate.wikileaks.org/cable/2009/12/09SAOPAULO663.html	(from http://cablegate.wikileaks.org/)
15:47:38	38591/38591	---M--	200	added ('OK')	text/html	etag:%22c060432-96bf-0%22	http://cablegate.wikileaks.org/cable/2009/12/09UNVIEVIENNA553.html	cablegate.wikileaks.org/cable/2009/12/09UNVIEVIENNA553.html	(from http://cablegate.wikileaks.org/)
15:47:38	35594/35594	---M--	200	added ('OK')	text/html	etag:%22c003d47-8b0a-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BEIJING3313.html	cablegate.wikileaks.org/cable/2009/12/09BEIJING3313.html	(from http://cablegate.wikileaks.org/)
15:47:39	34246/34246	---M--	200	added ('OK')	text/html	etag:%22c060439-85c6-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BERLIN1577.html	cablegate.wikileaks.org/cable/2009/12/09BERLIN1577.html	(from http://cablegate.wikileaks.org/)
15:47:39	30049/30049	---M--	200	added ('OK')	text/html	etag:%22c003cf2-7561-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BAGHDAD3195.html	cablegate.wikileaks.org/cable/2009/12/09BAGHDAD3195.html	(from http://cablegate.wikileaks.org/)
15:47:39	35430/35430	---M--	200	added ('OK')	text/html	etag:%22c06042c-8a66-0%22	http://cablegate.wikileaks.org/cable/2009/12/09MOSCOW3010.html	cablegate.wikileaks.org/cable/2009/12/09MOSCOW3010.html	(from http://cablegate.wikileaks.org/)
15:47:39	29037/29037	---M--	200	added ('OK')	text/html	etag:%22c003d56-716d-0%22	http://cablegate.wikileaks.org/cable/2009/12/09ABUDHABI1151.html	cablegate.wikileaks.org/cable/2009/12/09ABUDHABI1151.html	(from http://cablegate.wikileaks.org/)
15:47:40	29400/29400	---M--	200	added ('OK')	text/html	etag:%22c060436-72d8-0%22	http://cablegate.wikileaks.org/cable/2009/12/09DOHA728.html	cablegate.wikileaks.org/cable/2009/12/09DOHA728.html	(from http://cablegate.wikileaks.org/)
15:47:40	35636/35636	---M--	200	added ('OK')	text/html	etag:%22c06042a-8b34-0%22	http://cablegate.wikileaks.org/cable/2009/12/09DOHA733.html	cablegate.wikileaks.org/cable/2009/12/09DOHA733.html	(from http://cablegate.wikileaks.org/)
15:47:40	30423/30423	---M--	200	added ('OK')	text/html	etag:%22c060429-76d7-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BERLIN1609.html	cablegate.wikileaks.org/cable/2009/12/09BERLIN1609.html	(from http://cablegate.wikileaks.org/)
15:47:40	46991/46991	---M--	200	added ('OK')	text/html	etag:%22c06042f-b78f-0%22	http://cablegate.wikileaks.org/cable/2009/12/09TELAVIV2757.html	cablegate.wikileaks.org/cable/2009/12/09TELAVIV2757.html	(from http://cablegate.wikileaks.org/)
15:47:40	30350/30350	---M--	200	added ('OK')	text/html	etag:%22c06042d-768e-0%22	http://cablegate.wikileaks.org/cable/2009/12/09MUNICH328.html	cablegate.wikileaks.org/cable/2009/12/09MUNICH328.html	(from http://cablegate.wikileaks.org/)
15:47:41	35207/35207	---M--	200	added ('OK')	text/html	etag:%22c06043b-8987-0%22	http://cablegate.wikileaks.org/cable/2009/12/09TELAVIV2777.html	cablegate.wikileaks.org/cable/2009/12/09TELAVIV2777.html	(from http://cablegate.wikileaks.org/)
15:47:41	37199/37199	---M--	200	added ('OK')	text/html	etag:%22c060427-914f-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BERLIN1626.html	cablegate.wikileaks.org/cable/2009/12/09BERLIN1626.html	(from http://cablegate.wikileaks.org/)
15:47:41	26304/26304	---M--	200	added ('OK')	text/html	etag:%22c060428-66c0-0%22	http://cablegate.wikileaks.org/cable/2009/12/09BERLIN1636.html	cablegate.wikileaks.org/cable/2009/12/09BERLIN1636.html	(from http://cablegate.wikileaks.org/)
